                                     RANK LIST                                          
RANK	Student_ID	Sub1_Marks	Sub2_Marks	Sub3_Marks	Sub4_Marks	Sub5_Marks	Sub6_Marks	Total_Marks
1		67		73		73		99		98		98		98		539
2		304		59		99		100		92		94		86		530
3		480		99		79		84		99		99		69		529
4		80		69		94		98		75		94		99		529
5		49		45		93		98		90		90		98		514
6		334		96		100		62		87		72		93		510
7		331		93		78		97		95		95		52		510
8		96		100		54		88		95		79		93		509
9		145		87		67		78		98		73		98		501
10		25		61		98		96		81		92		72		500
11		500		99		50		95		91		81		83		499
12		105		54		92		97		89		76		91		499
13		21		62		81		82		97		98		79		499
14		420		74		72		88		70		95		94		493
15		192		69		80		84		94		86		80		493
16		430		52		99		92		71		93		84		491
17		377		51		89		90		78		98		85		491
18		316		88		98		83		87		44		89		489
19		440		84		62		88		99		97		58		488
20		268		94		78		72		80		87		77		488
21		469		66		89		94		50		89		98		486
22		333		96		100		78		98		39		75		486
23		61		88		93		100		66		96		42		485
24		83		87		87		89		69		59		93		484
25		325		74		52		96		94		89		78		483
26		195		51		82		93		83		93		81		483
27		101		59		99		79		95		55		96		483
28		218		95		79		95		73		61		78		481
29		365		99		90		99		41		87		64		480
30		181		69		85		82		79		93		71		479
31		439		74		100		100		58		55		91		478
32		394		83		100		78		41		90		86		478
33		211		96		93		76		83		76		54		478
34		446		77		96		100		81		73		50		477
35		363		90		66		69		98		56		98		477
36		356		43		87		77		93		91		86		477
37		305		86		83		48		85		87		88		477
38		250		99		99		67		36		78		98		477
39		175		86		82		94		86		42		87		477
40		169		98		65		91		57		96		70		477
41		164		42		98		80		96		61		100		477
42		47		88		94		74		58		89		74		477
43		402		83		89		70		92		98		43		475
44		117		68		99		90		72		59		87		475
45		332		90		98		53		87		49		97		474
46		263		91		96		58		92		57		79		473
47		121		96		83		50		65		80		98		472
48		84		51		81		98		83		65		91		469
49		373		56		98		99		43		86		86		468
50		93		99		93		59		44		82		91		468
51		381		85		74		61		88		74		85		467
52		306		89		90		83		86		52		67		467
53		110		93		79		63		90		71		71		467
54		362		77		87		55		73		98		76		466
55		349		52		94		92		79		69		80		466
56		127		86		99		84		89		65		43		466
57		259		72		98		62		60		83		90		465
58		236		91		72		51		72		92		87		465
59		119		55		91		70		94		80		75		465
60		30		81		100		54		99		92		39		465
61		472		70		70		99		77		96		52		464
62		459		91		89		86		65		88		45		464
63		456		82		79		57		85		78		83		464
64		399		86		70		78		80		63		87		464
65		160		86		66		91		62		66		93		464
66		208		47		90		75		99		90		62		463
67		435		41		95		72		92		95		67		462
68		415		42		99		48		94		89		90		462
69		280		89		38		77		97		93		68		462
70		241		89		47		94		37		98		97		462
71		109		76		77		89		51		96		73		462
72		458		73		45		96		69		100		78		461
73		352		60		89		55		92		94		71		461
74		328		50		68		93		57		98		95		461
75		311		79		86		84		67		82		63		461
76		353		85		96		56		55		75		93		460
77		347		91		59		89		84		99		38		460
78		59		40		74		88		94		96		68		460
79		301		47		100		85		77		63		87		459
80		485		71		61		67		100		76		83		458
81		172		79		63		90		94		92		40		458
82		182		55		71		91		98		45		97		457
83		65		80		92		87		60		75		63		457
84		28		88		98		82		53		44		91		456
85		491		92		99		55		99		73		37		455
86		448		78		64		92		96		46		79		455
87		56		96		80		87		35		60		97		455
88		41		36		99		55		99		69		97		455
89		137		91		96		68		52		82		65		454
90		75		90		69		71		42		92		90		454
91		18		78		76		94		37		69		100		454
92		390		100		45		83		36		97		92		453
93		267		65		88		63		76		84		77		453
94		254		90		36		94		90		89		54		453
95		129		90		83		89		36		60		95		453
96		427		61		67		73		89		88		74		452
97		95		99		73		61		68		80		71		452
98		297		78		82		66		46		91		87		450
99		262		48		84		75		63		88		92		450
100		246		73		86		100		57		51		83		450
101		426		42		96		92		76		52		91		449
102		161		36		86		74		71		91		91		449
103		412		76		77		94		52		61		88		448
104		395		81		87		75		38		86		81		448
105		380		82		67		84		99		70		46		448
106		216		91		93		36		93		59		76		448
107		188		52		91		96		60		67		82		448
108		312		92		77		71		49		66		92		447
109		233		95		61		37		93		63		98		447
110		130		78		40		100		88		73		68		447
111		73		99		86		93		54		80		35		447
112		464		80		85		100		77		50		54		446
113		81		52		38		94		75		88		99		446
114		27		66		73		98		73		42		94		446
115		153		56		57		84		98		87		63		445
116		64		90		80		45		86		76		68		445
117		360		63		51		96		43		96		95		444
118		282		93		97		61		56		44		93		444
119		112		86		37		74		54		95		98		444
120		14		58		72		74		93		99		47		443
121		252		85		83		39		84		83		68		442
122		243		49		76		97		89		71		60		442
123		225		80		44		79		81		93		65		442
124		104		95		59		69		69		65		85		442
125		466		79		59		93		89		56		65		441
126		357		51		99		35		80		81		95		441
127		351		73		92		50		36		94		96		441
128		271		81		84		86		38		100		52		441
129		45		86		83		52		91		41		88		441
130		401		64		38		98		88		74		78		440
131		62		55		92		83		55		72		83		440
132		32		80		70		40		88		90		72		440
133		20		93		65		92		89		32		69		440
134		497		83		65		97		54		100		40		439
135		409		99		83		57		96		67		37		439
136		321		97		62		90		38		60		92		439
