                                 OUTOFOUT LIST                                          
Count	Student_ID	Sub1_Marks	Sub2_Marks	Sub3_Marks	Sub4_Marks	Sub5_Marks	Sub6_Marks	Total_Marks
1		304		59		99		100		92		94		86		530
2		334		96		100		62		87		72		93		510
3		96		100		54		88		95		79		93		509
4		333		96		100		78		98		39		75		486
5		61		88		93		100		66		96		42		485
6		439		74		100		100		58		55		91		478
7		394		83		100		78		41		90		86		478
8		446		77		96		100		81		73		50		477
9		164		42		98		80		96		61		100		477
10		30		81		100		54		99		92		39		465
11		458		73		45		96		69		100		78		461
12		301		47		100		85		77		63		87		459
13		485		71		61		67		100		76		83		458
14		18		78		76		94		37		69		100		454
15		390		100		45		83		36		97		92		453
16		246		73		86		100		57		51		83		450
17		130		78		40		100		88		73		68		447
18		464		80		85		100		77		50		54		446
19		271		81		84		86		38		100		52		441
20		497		83		65		97		54		100		40		439
21		437		100		44		98		76		80		39		437
22		379		49		100		35		98		90		65		437
23		55		93		93		53		100		53		42		434
24		460		69		77		42		99		100		45		432
25		408		83		87		46		66		100		50		432
26		303		62		100		35		80		95		60		432
27		403		100		41		92		66		90		41		430
28		82		61		58		91		100		56		64		430
29		272		100		54		44		96		74		61		429
30		139		49		47		100		61		78		91		426
31		429		50		41		83		59		100		90		423
32		180		95		40		54		43		91		100		423
33		154		91		41		69		74		100		36		411
34		131		64		36		43		81		85		100		409
35		490		46		49		54		50		100		94		393
36		411		70		50		56		53		100		64		393
37		230		62		41		81		100		35		74		393
38		43		52		65		72		52		51		100		392
39		374		37		43		97		78		36		100		391
40		388		59		72		66		47		44		100		388
41		94		55		100		90		37		35		67		384
42		307		73		53		64		53		40		100		383
43		269		41		55		50		41		83		100		370
44		113		43		44		37		87		100		57		368
45		79		90		42		38		36		39		100		345
46		346		50		100		45		68		39		38		340
47		50		62		40		100		55		36		47		340
48		228		100		37		46		54		43		43		323
